A'GOIN	EY g oo n
LONGIN	l oo NG g i n
LONGINUS	l oo NG g i n AH s
LONGJUMEAU	l ax NG j u m oo
LONGKNIVES	l ax NG n ai bh z
LONGMAN'S	l ax NG m aa n z
LONGMEADOW	l ax NG m EH dx oo
LONGO	l ax NG g oo
LONGOBARDIAN	l oo NG g oo b a r dx i AH n
LONGOBARDIANS	l oo NG g oo b a r dx i AH n z
LONGOBARDS	l oo NG g oo b a r dx z
LONGOBUCCO	l oo NG g oo b u k oo
LONGOVILLE	l oo NG g oo bh i l
LONGPATH	l a NG p aa th
LONGSHANKS	l ax NG sh aa NG k s
LONGSPADE	l ax NG s p ee dx
LONGSTAFF	l ax NG s t aa ph
LONGSTAFFE	l ax NG s t aa ph
LONGSTANDING	l ax NG s t aa n dx i NG
LONGSTONE	l ax NG s t oo n
LONGSTRETH	l a NG s t r EH th
LONGSTRETH'S	l ax NG s t r EH th s
LONGSUFFERING	l ax NG s AH ph ER i NG
LONGSWORD	l ax NG z bh ER dx
LONGTAIL	l ax NG t ee l
LONGUEMARE	l ax NG bh EH m EH r
LONGUEVAL	l ax NG bh EH bh AH l
LONGUEVILLE	l ax NG bh i l
LONGUEVILLE'S	l ax NG bh i l z
LONGUM	l oo NG g AH m
LONGUS	l oo NG g AH s
LONGVILLE	l ax NG bh i l
LONGWAYS	l ax NG bh ee z
LONGWISE	l ax NG bh ai z
LONGWOOD	l ax NG bh u dx
LONGWORTH	l ax NG bh ER th
LONGWORTH'S	l ax NG bh ER th s
LONGWORTHS	l ax NG bh ER d z
LONGWY	l ax NG bh i
LONJUMEAU	l a n j u m oo
LONO	l a n oo
LONSDALE	l a n s dx ee l
LONSDALE'S	l a n s dx ee l z
LONTAINE	l ax n t ee n
LONTAINE'S	l ax n t ee n z
LONTAINES	l ax n t ee n z
LONTANA	l oo n t aa n AH
LONTANE	l oo n t ee n
LONTANO	l oo n t a n oo
LONTULU	l oo n t u l u
LONZO	l a n z oo
LOOF	l u ph
LOOFAH	l u ph a
LOOKETH	l u k i th
LOONVILLE	l u n bh i l
LOOPHOLE	l u p h oo l
LOOPHOLED	l u p h oo l dx
LOOPHOLES	l u p h oo l z
LOOSESTRIFE	l u s s t r ai ph
LOOSESTRIFE	l u s t r ai ph
LOOSETH	l u s i th
LOOVE	l u bh
LOPA	l oo p AH
LOPAKA	l oo p a k AH
LOPAKHIN	l oo p aa k i n
LOPE	l oo p
LOPED	l oo p t
LOPEMAN	l oo p m AH n
LOPER	l oo p ER
LOPES	l oo p s
LOPEZ	l oo p EH z
LOPEZ'S	l oo p EH z i z
LOPIN	l oo p i n
LOPING	l oo p i NG
LOQ	l oo k
LOQUACIOUS	l oo k bh ee sh AH s
LOQUACIOUSLY	l oo k bh ee sh AH s l i
LOQUACIOUSNESS	l oo k bh ee sh AH s n AH s
LOQUACITY	l oo k bh ee s i t i
LOQUAT	l oo k bh a t
LOQUATS	l oo k bh a t s
LOQUENDI	l oo k bh EH n dx i
LOQUENTEM	l oo k bh EH n t EH m
LOQUHARIOT	l oo k bh EH r i AH t
LOQUI	l oo k bh i
LOQUITUR	l oo k bh i t ER
LOQUOR	l oo k bh ER
LORAIN	l ER ee n
LORAINE	l ER ee n
LORAINE'S	l ER ee n z
LORANDO	l ax r a n dx oo
LORBASS	l ax r b aa s
LOREDAN	l ax r ee dx AH n
LOREDANO	l ax r ee dx a n oo
LORELEI'S	l ax r i l ee z
LORENTE	l ax r EH n t ee
LORENZACCIO	l ax r EH n z a c i oo
LORENZINO	l ax r EH n z i n oo
LORENZO	l ax EH n z oo
LORENZO	l ER EH n z oo
LORENZO'S	l ax r EH n z oo z
LORENZO'S	l ER EH n z oo z
LORENZONI	l ax r EH n z oo n i
LORETO	l ax r EH t oo
LORETTO	l ax r EH t oo
LORGNAC	l ax r n y aa k
LORGNON	l ax r n y oo n
LORILLEUX	l ax r AH l oo
LORILLEUXS	l ax r AH l oo z
LORINGHOVEN	l ax r i NG h oo bh AH n
LORINGWOOD	l ax r i NG bh u dx
LORISTAN	l ax r i s t aa n
LORISTAN'S	l ax r i s t aa n z
LORNBAY	l ax r n b ee
LORO	l ax r oo
LORONA	l ax r oo n AH
LORQUAS	l ax r k bh AH z
LORRAIN	l ER ee n
LORRAINE	l ER ee n
LORRAINE'S	l ER ee n z
LORRAINER	l ER ee n ER
LORRAINERS	l ER ee n ER z
LORRAINES	l ER ee n z
LORRAINS	l ER ee n z
LORRIDAILE	l ax r AH dx ee l
LOS	l oo s
LOSADA	l oo s a dx AH
LOSADA'S	l oo s a dx AH z
LOSCHWITZ	l ax sh bh i t s
LOSCOMBE	l oo s k oo m b i
LOSEL	l oo z AH l
LOSEST	l oo s AH s t
LOSETH	l a s i th
LOSSOW	l a s oo
LOSTWITHIEL	l a s t bh i d i l
LOSUNGER	l oo s u NG ER
LOTA	l oo t AH
LOTAH	l oo t AH
LOTARINGER	l oo t ER i NG ER
LOTBINIERE	l oo t b i n i EH r
LOTE	l oo t i
LOTEN	l oo t AH n
LOTH	l a th
LOTHAIR	l a th EH r
LOTHAIR'S	l a th EH r z
LOTHAIRE	l a th EH r
LOTHAR	l a th ER
LOTHAR'S	l a th ER z
LOTHARIAN	l a th EH r i AH n
LOTHARIO	l a th a r i oo
LOTHARIO'S	l a th ER i oo z
LOTHARIOS	l a th ER i oo z
LOTHAW	l a th ax
LOTHBURY	l a th b EH r i
LOTHE	l oo d
LOTHERSDALE	l a th ER z dx ee l
LOTHIAN	l a th i AH n
LOTHIAN'S	l a th i AH n z
LOTHIANS	l a th i AH n z
LOTHRINGEN	l a th r i NG AH n
LOTHROP	l a th r AH p
LOTHROP	l oo th r AH p
LOTHROP'S	l a th r AH p s
LOTHUNDIAZ	l a th AH n dx i a z
LOTI	l oo t i
LOTI'S	l oo sh i z
LOTION	l oo sh AH n
LOTIONS	l oo sh AH n z
LOTO	l oo t oo
LOTON	l oo t AH n
LOTOS	l oo t oo z
LOTTO	l a t oo
LOTTO	l a t oo
LOTU	l oo t u
LOTUS	l oo t AH s
LOTUSES	l oo t AH s i z
LOTZE	l oo t z
LOTZEN	l oo t z AH n
LOTZENIA	l oo t z ee n i AH
LOUALABA	l u aa l a b AH
LOUBERSAC	l u b ER s aa k
LOUBERSAC'S	l u b ER s aa k s
LOUCHET	l u sh ee
LOUCHEUX	l u sh oo
LOUDMOUTHED	l au dx m au d dx
LOUDWATER	l au dx bh ax t ER
LOUDWATER'S	l au dx bh ax t ER z
LOUGHBOROUGH	l au b ER oo
LOUGHLIN	l ax ph l i n
LOUGHREA	l au r ee
LOUGHSHANE	l au sh ee n
LOUISIANA	l u i z i aa n AH
LOUISIANA'S	l u i z i aa n AH z
LOUISIANE	l u i z i aa n
LOUISIANIAN	l u i z i aa n i AH n
LOUISIANIANS	l u i z i aa n i AH n z
LOUISIANNY	l u i z i aa n i
LOUISVILLE	l u i bh i l
LOURDOIS	l ax r dx bh a
LOURENCO	l au r EH n k oo
LOURENCO'S	l au r EH n k oo z
LOUSTALOT	l u s t ee l AH t
LOUSTEAU	l u s t oo
LOUSTEAU'S	l u s t oo z
LOUTH	l au th
LOUTHERBOURG	l au th EH r b u r g
LOUVAIN	l u bh ee n
LOUVE	l u bh
LOUVECIENNES	l u bh AH s i EH n EH s
LOUVEL	l u bh AH l
LOUVERTURE	l u bh ER c ER
LOUVET	l u bh AH t
LOUVIER	l au bh i ER
LOUVIER'S	l u bh i ee z
LOUVIERES	l u bh i EH r z
LOUVIERS	l au bh i ER z
LOUVIGNY	l u bh i g n i
LOUVILLE	l u bh i l
LOUVISAN	l au bh i s a n
LOUVOIS	l u bh bh a
LOUVOIS'S	l u bh bh a z
LOUVRE	l u bh r AH
LOUVRES	l u bh r AH s
LOV	l AH bh
LOV'ST	l AH bh s t
LOVABLE	l AH bh AH b AH l
LOVABLENESS	l AH bh AH b AH l n AH s
LOVABLY	l AH bh AH b l i
LOVAGE	l AH bh AH j
LOVAINA	l a bh ee n AH
LOVAINA'S	l a bh ee n AH z
LOVAT	l oo bh AH t
LOVAT'S	l oo bh a t s
LOVATT	l a bh AH t
LOVE	l AH bh
LOVE'	l AH bh
LOVE'S	l AH bh z
LOVEABLE	l AH bh AH b AH l
LOVEABLENESS	l AH bh AH b AH l n AH s
LOVEBIRDS	l AH bh b ER dx z
LOVEBY	l AH bh b i
LOVECRAFT	l AH bh k r aa ph t
LOVED	l AH bh dx
LOVEDAY	l AH bh dx ee
LOVEDAY'S	l AH bh dx ee z
LOVEDST	l AH bh AH dx s t
LOVEDY	l AH bh AH dx i
LOVEDY'S	l AH bh AH dx i z
LOVEFEAST	l AH bh AH ph i s t
LOVEGROVE	l AH bh g r oo bh
LOVEIT	l AH bh i t
LOVEJOY	l AH bh j oo
LOVEJOY'S	l AH bh j oo z
LOVEL	l AH bh AH l
LOVEL'S	l AH bh l z
LOVELACE	l AH bh l ee s
LOVELACE'S	l AH bh l ee s i z
LOVELACES	l AH bh l ee s AH z
LOVELAND	l AH bh l AH n dx
LOVELAND'S	l AH bh l AH n dx z
LOVELEAVES	l AH bh l i bh z
LOVELESS	l AH bh l AH s
LOVELESSNESS	l AH bh l AH s n AH s
LOVELIER	l AH bh l i ER
LOVELIEST	l AH bh l i AH s t
LOVELIGHT	l AH bh l ai t
LOVELILY	l AH bh l AH l i
LOVELINESS	l AH bh l i n AH s
LOVELINESSES	l AH bh l i n AH s i z
LOVELL	l AH bh AH l
LOVELL'S	l AH bh AH l z
LOVELLS	l AH bh AH l z
LOVELOCK	l AH bh l a k
LOVELOCKS	l AH bh l a k s
LOVELORN	l AH bh l ER n
LOVELS	l AH bh AH l z
LOVELY	l AH bh l i
LOVELY'S	l AH bh l i z
LOVEMAKING	l AH bh m ee k i NG
LOVEMORE	l AH bh m ax r
LOVEN	l AH bh AH n
LOVENANT	l AH bh AH n AH n t
LOVENJOUL	l AH bh AH n j u l
LOVER	l AH bh ER
LOVER'S	l AH bh ER z
LOVERAL	l AH bh ER AH l
LOVERING	l AH bh ER i NG
LOVERLESS	l AH bh ER l AH s
LOVERLIKE	l AH bh ER l ai k
LOVERLY	l AH bh ER l i
LOVERS	l AH bh ER z
LOVES	l AH bh z
LOVESICK	l AH bh s i k
LOVESOME	l AH bh s AH m
LOVEST	l AH bh AH s t
LOVETH	l AH bh i th
LOVETSKI	l AH bh EH t s k i
LOVETT	l AH bh i t
LOVETT'S	l AH bh EH t s
LOVEWELL	l AH bh bh EH l
LOVEWORTH	l AH bh bh ER th
LOVEY	l AH bh i
LOVEY'S	l AH bh i z
LOVEYDEAR	l AH bh ee dx i r
LOVIBOND	l a bh i b a n dx
LOVICK	l a bh i k
LOVICZ	l a bh i c
LOVIE	l AH bh i
LOVIN	l oo bh i n
LOVING	l AH bh i NG
LOVINGEST	l a bh i NG g AH s t
LOVINGKINDNESS	l AH bh i NG k ai n dx n AH s
LOVINGLY	l AH bh i NG l i
LOVINGNESS	l AH bh i NG n i s
LOVISA	l oo bh i s AH
LOVISE	l AH bh ai z
LOW	l oo
LOW'S	l oo z
LOWBORN	l oo b ax r n
LOWBRIDGE	l oo b r i j
LOWBROW	l oo b r oo
LOWCH	l oo c
LOWCHESTER	l oo c EH s t ER
LOWD	l oo dx
LOWDAH	l oo dx AH
LOWDEN	l oo dx AH n
LOWDER	l oo dx ER
LOWDER'S	l oo dx ER z
LOWDOWN	l oo dx au n
LOWE	l oo
LOWE'S	l oo z
LOWED	l oo dx
LOWELL	l oo AH l
LOWELL'S	l oo i l z
LOWELLS	l oo AH l z
LOWENSTEIN	l oo AH n s t ai n
LOWENSTEIN	l oo AH n s t i n
LOWENTHAL	l oo i n th AH l
LOWER	l oo ER
LOWER'D	l oo ER dx
LOWERED	l oo ER dx
LOWERIN	l oo ER i n
LOWERING	l oo ER i NG
LOWERINGLY	l oo ER i NG l i
LOWERMOST	l oo ER m oo s t
LOWERS	l oo ER z
LOWES	l oo z
LOWEST	l oo AH s t
LOWESTOFFE	l oo AH s t ax ph
LOWESTOFT	l oo AH s t a ph t
LOWICK	l oo i k
LOWIETJE	l AH bh i t j
LOWIEWSKI	l oo i EH ph s k i
LOWIN	l AH bh i n
LOWING	l oo i NG
LOWINGS	l oo i NG z
LOWLAND	l oo l aa n dx
LOWLANDER	l oo l aa n dx ER
LOWLANDERS	l oo l aa n dx ER z
LOWLANDS	l oo l aa n dx z
LOWLIER	l oo l i ER
LOWLIEST	l oo l i AH s t
LOWLIFE	l oo l ai ph
LOWLINESS	l oo l i n AH s
LOWLY	l oo l i
LOWMAN	l oo m AH n
LOWME	l oo m
LOWNDES	l oo n dx i z
LOWNDES	l oo n dx z
LOWNDES'S	l oo n dx i z
LOWNESS	l oo n AH s
LOWNEY	l oo n i
LOWOOD	l oo bh u dx
LOWS	l oo z
LOWSE	l oo s
LOWSON	l oo s AH n
LOWTEN	l oo t AH n
LOWTH	l oo th
LOWTHER	l oo d ER
LOWTHER'S	l oo d ER z
LOWTHIAN	l oo d i AH n
LOWTON	l oo t AH n
LOWTOWN	l oo t au n
LOWYATAR	l oo i AH t a r
LOY	l oo
LOYAL	l oo AH l
LOYALEST	l oo AH l AH s t
LOYALHEART	l oo AH l h a r t
LOYALIST	l oo AH l i s t
LOYALISTS	l oo AH l i s t s
LOYALL	l oo AH l
LOYALLY	l oo AH l i
LOYALS	l oo AH l z
LOYALTIES	l oo AH l t i z
LOYALTY	l oo AH l t i
LOYALTY'S	l oo AH l t i z
LOYANG	l oo AH NG
LOYAUTE	l oo oo t
LOYCE	l oo s
LOYD	l oo dx
LOYLE	l oo l
LOYNE	l oo n
LOYOLA	l oo oo l AH
LOYOLA'S	l oo oo l AH z
LOYS	l oo z
LOYSIK	l oo s i k
LOZ	l oo z
LOZELLE	l oo z EH l
LOZIER	l oo z i ER
LOZONCYI	l oo z AH n s i
LOZONCYI'S	l oo z AH n s ai i z
LUANG	l bh a NG
LUATH	l u aa th
LUAZO	l u a z oo
LUBKOV	l AH b k ax bh
LUBOMIRSKA	l u b oo m i r s k AH
LUBOMIRSKI	l u b oo m i r s k i
LUBOV	l u b ax bh
LUBRICATE	l u b r i k ee t
LUBRICATED	l u b r AH k ee t i dx
LUBRICATES	l u b r AH k ee t s
LUBRICATING	l u b r AH k ee t i NG
LUBRICATION	l u b r i k ee sh AH n
LUBRICATOR	l u b r i k ee t ER
LUCANIAN	l u k ee n i AH n
LUCANIANS	l u k ee n i AH n z
LUCANUS	l u k ee n AH s
LUCASTA	l u k aa s t AH
LUCCHESE	l u k ee z i
LUCCO	l u k oo
LUCENAY	l u s AH n ee
LUCENDO	l u c EH n dx oo
LUCENTIO	l u c EH n t i oo
LUCERO	l u c EH r oo
LUCEVAL	l u s EH bh aa l
LUCIANA	l u s i aa n AH
LUCIANO	l u c i a n oo
LUCIFER	l u s AH ph ER
LUCIFER'S	l u s AH ph ER z
LUCIFERIAN	l u s i ph EH r i AH n
LUCIFERS	l u s AH ph ER z
LUCIO	l u s i oo
LUCIVEE	l u s i bh i
LUCKENBOOTHS	l AH k i n b u th s
LUCKENOUGH	l AH k i n AH ph
LUCKNOW	l AH k n oo
LUCKOIE	l AH k oo
LUCKSTONE	l AH k s t oo n
LUCKWORTH	l AH k bh ER th
LUCKYMOBILE	l AH k i m oo b i l
LUCO	l u k oo
LUCRATIVE	l u k r AH t i bh
LUCRO	l u k r oo
LUCUBRATION	l u k AH b r ee sh AH n
LUCUBRATIONS	l u k AH b r ee sh AH n z
LUCUMO	l u k AH m oo
LUDENDORFF	l AH dx i n dx ax r ph
LUDFORD	l AH dx ph ER dx
LUDGATE	l AH dx g ee t
LUDLOE	l AH dx l oo
LUDLOW	l AH dx l oo
LUDLOW'S	l AH dx l oo z
LUDLOWS	l AH dx l oo z
LUDO	l u dx oo
LUDOLF	l u dx oo l ph
LUDOVIC	l AH dx AH bh i k
LUDOVIC'S	l u dx oo bh i k s
LUDOVICA	l u dx oo bh i k AH
LUDOVICI	l u dx oo bh i c i
LUDOVICK	l u dx oo bh i k
LUDOVICO	l u dx oo bh i k oo
LUDOVICO'S	l u dx oo bh i k oo z
LUDOVICUS	l u dx oo bh i k AH s
LUDOVINE	l u dx oo bh ai n
LUDOVISI	l u dx oo bh i s i
LUDOVSKA	l u dx ax bh s k AH
LUDOWIKA	l u dx oo i k AH
LUDOWIKA'S	l u dx oo i k AH z
LUDVIG	l AH dx bh i g
LUDWELL	l AH dx bh EH l
LUDWIG	l AH dx bh i g
LUDWIG'S	l AH dx bh i g z
LUDWIGSBURG	l AH dx bh i g z b ER g
LUDWIGSHAFEN	l AH dx bh i g sh AH ph AH n
LUDWIGSLUST	l AH dx bh i g sh l AH s t
LUEGO	l u g oo
LUETTWITZ	l u t bh i t s
LUETZOW	l u t z oo
LUETZOW'S	l u t z oo z
LUF	l AH ph
LUFA	l AH ph AH
LUFA'S	l AH ph AH z
LUFF	l AH ph
LUFF'S	l AH ph s
LUFFED	l AH ph t
LUFFING	l AH ph i NG
LUFFLIN	l AH ph l i n
LUFFREE	l AH ph r i
LUFFS	l AH ph s
LUFFTENANT	l AH ph t AH n AH n t
LUFFTON	l AH ph t AH n
LUFFY	l AH ph i
LUFT	l AH ph t
LUFTON	l AH ph t AH n
LUFTWAFFE	l AH ph t bh a ph
LUGAID	l u g ee dx
LUGANO	l u g a n oo
LUGO	l u g oo
LUGSAIL	l AH g s ee l
LUIGI'S	l bh i j i z
LUIGINO	l u i j i n oo
LUIGO	l u i g oo
LUKANNON	l u k aa n AH n
LUKASH	l u k aa sh
LUKEWARM	l u k bh ax r m
LUKEWARMLY	l u k bh ax r m l i
LUKEWARMNESS	l u k bh ax r m n AH s
LUKHNOF	l AH k n ax ph
LULIBAN	l u l i b aa n
LULLAY	l AH l ee
LULWORTH	l AH l bh ER th
LUMANO	l u m a n oo
LUMBAGO	l AH m b ee g oo
LUMBERJACK	l AH m b ER j aa k
LUMBERJACKS	l AH m b ER j aa k s
LUMBERMAN'S	l AH m b ER m aa n z
LUMBO	l AH m b oo
LUMBRILO	l AH m b r i l oo
LUMBWA	l AH m b bh AH
LUMINIFEROUS	l u m AH n i ph ER AH s
LUMINOSITY	l u m i n oo s i t i
LUMINOT'S	l u m i n oo z
LUNALILO	l u n a l i l oo
LUNATICO	l u n a t i k oo
LUNATIONS	l AH n ee sh AH n z
LUNEVILLE	l u n EH bh i l
LUNG'ARNO	l AH NG a r n oo
LUNGARNO	l AH NG g a r n oo
LUNGFUL	l AH NG ph AH l
LUNGFULS	l AH NG ph AH l z
LUNGO	l AH NG g oo
LUNIGIANA	l u n i j i aa n AH
LUNPO	l AH n p oo
LUNSFORD	l AH n s ph ER dx
LUOGO	l u oo g oo
LUPEAULX	l u p oo l k s
LUPEAULX'S	l u p oo l k s i z
LUPERCAL	l u p ER k aa l
LUPISWANA	l u p i s bh a n AH
LUPO	l u p oo
LUPO'S	l u p oo z
LURANA'S	l ER aa n AH z
LURAY	l u r ee
LURCANIO	l ER k ee n i oo
LURISTAN	l u r AH s t aa n
LURKETH	l ER k i th
LURVEY	l ER bh ee
LURVEY'S	l ER bh ee z
LUSCOMBE	l u s k oo m b i
LUSIAD	l u s ai aa dx
LUSITANIA	l u s AH t ee n i AH
LUSITANIAN	l u s AH t ee n i AH n
LUSITANIANS	l u s AH t ee n i AH n z
LUSSAC	l u s aa k
LUSTADT	l u sh t aa t
LUSTETH	l AH s t EH th
LUSTFUL	l AH s t ph AH l
LUSTFULLY	l AH s t ph AH l i
LUSTRATION	l AH s t r ee sh AH n
LUSTRATIONS	l AH s t r ee sh AH n z
LUTATIUS	l u t ee sh AH s
LUTH	l u th
LUTHA	l u d AH
LUTHANIAN	l u th aa n i AH n
LUTHER	l u th ER
LUTHER'S	l u th ER z
LUTHERAN	l u th ER AH n
LUTHERANISM	l u th ER AH n i z AH m
LUTHERANS	l u th ER AH n z
LUTHERS	l u th ER z
LUTHIER	l u d i ER
LUTOSTANSKY	l u t AH s t aa n s k i
LUTTERWORTH	l AH t ER bh ER th
LUTWIDGE	l AH t bh i j
LUTZOW	l AH t z oo
LUV	l AH bh
LUVE	l AH bh
LUVLY	l AH bh l i
LUVOCHEK	l AH bh a k i k
LUVOIS	l AH bh bh a
LUXURIA	l AH g j ER i AH
LUXURIANCE	l AH g j ER i AH n s
LUXURIANCY	l AH g j ER i AH n s i
LUXURIANT	l AH g j ER i AH n t
LUXURIANTLY	l AH g j ER i AH n t l i
LUXURIATE	l AH g j ER i AH t
LUXURIATED	l AH g j ER i ee t i dx
LUXURIATES	l AH g j ER i AH t s
LUXURIATING	l AH g j ER i ee t i NG
LUXURIES	l AH g j ER i z
LUXURIOUS	l AH g j ER i AH s
LUXURIOUSLY	l AH g j ER i AH s l i
LUXURIOUSNESS	l AH g j ER i AH s n AH s
LUXURY	l AH g j ER i
LUXURY'S	l AH g j ER i z
LUZANNE	l u z aa n
LUZANNE'S	l u z aa n z
LUZANO	l u z a n oo
LUZHIN	l u j i n
LUZO	l u z oo
LUZZATTO	l u t s a t oo
LVI	l bh i
LVIII	l bh i i
LVOFF	l bh ax ph
LVOVITCH	l bh AH bh i c
LVOVNA	l bh oo bh n AH
LXV	l k s bh
LXVIII	l k s bh i i
LXXIV	l k s i bh
LXXV	l k s bh
LXXVI	l k s bh i
LXXVII	l k s bh i
LXXVIII	l k s bh i i
LXXXV	l k s k s bh
LXXXVI	l k s k s bh i
LYAD	l ai aa dx
LYAD'S	l ai aa dx z
LYAEUS	l y ee AH s
LYAGAVY	l ai AH g ee bh i
LYAUTEY	l ai oo t i
LYCANTHROPIST	l ai k aa n th r AH p i s t
LYCANTHROPOUS	l ai k aa n th r AH p AH s
LYCANTHROPY	l ai k aa n th r AH p i
LYCAON	l ai k ee oo n
LYCAONIA	l ai k a oo n y AH
LYCHGATE	l ai k g ee t
LYCOMEDES	l ai k oo m EH dx z
LYCOPHRON	l ai k AH ph r a n
LYCOPODIUM	l ai k AH p oo dx i AH m
LYCOSA	l ai k oo s AH
LYCOSA'S	l ai k oo s AH z
LYCOSAE	l ai k oo s ee
LYDANE	l ai dx ee n
LYDFORD	l i dx ph ER dx
LYDGATE	l i dx g ee t
LYDGATE'S	l i dx g ee t s
LYDMOUTH	l i dx m AH th
LYETH	l ai EH th
LYF	l i ph
LYFE	l i ph
LYFORD	l i ph ER dx
LYIN	l ai aa n
LYKEWAKE	l ai k bh ee k
LYMPH	l i m ph
LYMPHA	l i m ph AH
LYMPHATIC	l i m ph aa t i k
LYMPHATICS	l i m ph aa t i k s
LYMPTANIA	l ai m t ee n i AH
LYNDWOOD	l i n dx bh u dx
LYNMOUTH	l i n m AH th
LYNNEBOROUGH	l i n i b ER oo
LYNWOOD	l i n bh u dx
LYNWOOD'S	l i n bh u dx z
LYOF	l ai AH ph
LYONNAIS	l ai AH n ee z
LYONNAIS	l i AH n ee
LYONNAISE	l ai AH n ee z
LYRAE	l ai r ee
LYSANDER	l ai s aa n dx ER
LYSANDRA	l ai s aa n dx r AH
LYSBETH	l ai s b i th
LYSBETH'S	l ai s b AH th s
LYSIMACHUS	l ai s i m aa c AH s
LYSKAMM	l ai s k aa m
LYTH	l i th
LYTH'S	l i th s
LYTHE	l ai d
LYUBOMIRSKI	l y u b oo m i r s k i
LYUBOV	l y u b ax bh
LYUBOVLYA	l y u b a bh l y AH
LYVEDEN	l ai bh dx AH n
LYVEDEN'S	l ai bh dx AH n z
LYVEDON	l ai bh EH dx a n
LYVERN	l ai bh ER n
M'ALLISTER	m aa l AH s t ER
M'ALPINE	m aa l p ai n
M'AMA	m aa m AH
M'AMIE	m aa m i
M'AMZELLE	m aa m z EH l
M'ARTHUR	m a r th ER
M'AULAY	m ax l ee
M'AVAIT	m ee bh ee t
M'AVEZ	m a bh EH z
M'BASSA	m b aa s AH
M'BO	m b oo
M'BONGWELE	m b oo NG bh l
M'BONGWELE'S	m b oo NG bh EH l z
M'BUFFER	m b AH ph ER
M'CABE	m k ee b
M'CABE'S	m k a b ee z
M'CALLUM	m k aa l AH m
M'CANN	m k aa n
M'CARTHY	m k a r th i
M'CASKEY	m k aa s k i
M'CATCHLEY	m k aa c l i
M'CHEYNE	m sh ee n
M'CHOAKUMCHILD	m c oo k AH m c ai l dx
M'CLANE	m k l ee n
M'CLAVERTY	m k l ee bh ER t i
M'CORKINDALE	m k ax r k AH n dx ee l
M'COY	m k oo
M'CRACKEN	m k r aa k AH n
M'DO'EM	m dx oo EH m
M'EVOY	m AH bh oo
M'FALZEN	m ph aa l z AH n
M'FARLANE	m ph a r l AH n
M'FOSA	m ph oo s AH
M'GABBERY	m g aa b ER i
M'GAMBI	m g aa m b i
M'GANN	m g aa n
M'GANWAZAM	m g a n bh a z a m
M'GILLIVRAY	m g i l AH bh r ee
M'GRADER	m g r ee dx ER
M'GRAMM	m g r aa m
M'GRATH	m g r aa th
M'GRATH'S	m g r aa th s
M'GUINNESS	m g bh i n AH s
M'GUIRE	m g bh i r ee
M'HALE	m h ee l
M'ILITANI	m i l AH t ee n i
M'IVER	m ai bh ER
M'IVER'S	m i bh ER z
M'KAY	m k ee
M'KELVIE	m k EH l bh i
M'KEOWN	m k i oo n
M'KOY	m k oo
M'KUBWA	m k AH b bh AH
M'LASSES	m l aa s i z
M'LEAY	m l ee
M'MAHON	m m AH h oo n
M'MAHON'S	m m AH h oo n z
M'MAHONS	m m AH h oo n z
M'MANUS	m m ee n i s
M'NAB	m AH n aa b
M'NIVEN	m AH n ai bh AH n
M'PHERSON	m ph ER s AH n
M'PHERSON'S	m ph ER s AH n z
M'PONGWE	m p ax NG bh
M'QUEEN	m k bh i n
M'QUHIRR	m k bh ER
M'QUIRK	m k bh ER k
M'RAE	m r ee
M'RANDY	m r aa n dx i
M'ROOLI	m r oo l i
M'SELF	m s EH l ph
M'SETU'S	m s ee t u z
M'SIEU	m j u
M'SWAT	m s bh a t
M'SWAT'S	m s bh a t s
M'SWEENY	m s bh i n i
M'TAVISH	m t ee bh i sh
M'TELA	m t ee l AH
M'TELA'S	m t ee l AH z
M'TEOULIN	m t i u l aa n
M'VAYNE	m AH bh ee n
M'WANE	m bh ee n
M'WHIRTLE	m bh ER t AH l
M'ZANGWE	m z aa NG bh
MA'AM	m aa m
MA'AME	m aa m
MA'AMS	m aa m z
MA'AMSELLE	m aa m s EH l
MA'AN	m aa n
MA'ASTER	m aa s t ER
MA'ASUMA	m aa z u m AH
MAA	m ee ee
MAALEM	m ee l AH m
MAASTER	m ee s t ER
MAB	m aa b
MAB'S	m aa b z
MABALLA	m aa b aa l AH
MABBE	m aa b
MABBESO	m aa b ee s oo
MABE	m ee b
MABEE	m aa b i
MABEL	m ee b AH l
MABEL'S	m aa b AH l z
MABERLY	m aa b ER l i
MABEY	m ee b i
MABIE	m aa b i
MABIE'S	m aa b i z
MABILLE	m aa b i l
MABILLON	m aa b i l a n
MABINI	m aa b i n i
MABINOGION	m aa b i n oo j AH n
MABLE	m ee b AH l
MABLETHORPE	m ee b AH l th ax r p
MABLEY	m aa b l i
MABON	m ee b AH n
MABROOK	m aa b r u k
MABRUKI	m aa b r u k i
MABRUKI'S	m aa b r u k i z
MABRY	m aa b ER i
MABUNU	m aa b AH n u
MABYN	m aa b i n
MABYN'S	m aa b i n z
MAC	m aa k
MAC'S	m aa k s
MACACO	m AH k a k oo
MACADAM	m AH k aa dx AH m
MACADAMISED	m AH k aa dx AH m AH s t
MACADAMIZED	m AH k aa dx AH m ai z dx
MACALISTER	m AH k aa l AH s t ER
MACALISTER'S	m AH k aa l AH s t ER z
MACALISTERS	m AH k aa l AH s t ER z
MACALLAN	m AH k aa l AH n
MACALLAN'S	m AH k aa l AH n z
MACALLISTER	m AH k aa l i s t ER
MACALLISTER'S	m AH k aa l AH s t ER z
MACALLUM	m AH k aa l AH m
